Year,Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos
2011,1,1,90 (89),8-Jul,LAA,,SEA,"W,4-3",CG,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0.84,-0.062,1.52,-0.07%,-0.41,,,CF
2011,2,2,91,9-Jul,LAA,,SEA,"W,9-3",CG,4,3,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.167,0.286,0.167,0.452,9,0.59,0.151,1.07,0.16%,1.12,,,CF
2011,3,3,92,10-Jul,LAA,,SEA,"W,4-2",CG,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.111,0.2,0.111,0.311,9,1.28,-0.098,2.28,-0.11%,-0.77,,,CF
2011,4,4,93,15-Jul,LAA,@,OAK,"L,3-5",CG,4,4,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.154,0.214,0.154,0.368,9,2.1,0.039,3.12,0.04%,0.23,,,CF
2011,5,5,94,Jul 16 (1),LAA,@,OAK,"W,4-2",CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.118,0.167,0.118,0.284,9,0.65,-0.063,0.97,-0.06%,-0.85,,,CF
2011,6,6,95,Jul 16 (2),LAA,@,OAK,"L,3-4",CG(10),4,3,0,1,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0.15,0.227,0.2,0.427,9,1.37,0.004,2.17,0.00%,0.08,,,CF
2011,7,7,96,17-Jul,LAA,@,OAK,"L,1-9",CG,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.125,0.192,0.167,0.359,9,0.08,-0.008,0.11,-0.01%,-1.32,,,CF
2011,8,8,98 (1),20-Jul,LAA,,TEX,"W,9-8",CG,4,3,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0.148,0.233,0.185,0.419,9,0.64,0.031,1.25,0.04%,0.4,,,CF
2011,9,9,99,21-Jul,LAA,,TEX,"W,1-0",CG,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.133,0.212,0.167,0.379,8,1.03,0.064,2.28,0.09%,0.35,,,CF
2011,10,10,100,22-Jul,LAA,@,BAL,"W,6-1",CG,4,4,2,2,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0.176,0.243,0.235,0.479,8,1.43,0.061,2.06,0.05%,0.55,,,CF
2011,11,11,101,23-Jul,LAA,@,BAL,"L,2-3",9-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,0.176,0.243,0.235,0.479,5,,,,,,,,PR
2011,12,12,102,24-Jul,LAA,@,BAL,"W,9-3",CG,5,5,1,1,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0.179,0.238,0.308,0.546,8,0.72,0.137,1.01,0.12%,1.39,,,LF CF
2011,13,13,105 (2),27-Jul,LAA,@,CLE,"W,3-1",CG,4,3,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0.167,0.217,0.286,0.503,8,0.93,-0.02,1.43,-0.02%,-0.42,,,LF
2011,14,14,107 (1),29-Jul,LAA,@,DET,"L,2-12",9-GF,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.163,0.213,0.279,0.492,4,0,0,0,0.00%,-0.23,,,PH DH
2011,15,15,126 (18),19-Aug,LAA,,BAL,"W,8-3",CG,4,4,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0.17,0.216,0.34,0.556,8,0.21,-0.014,0.19,-0.01%,0.35,,,RF
2011,16,16,127,20-Aug,LAA,,BAL,"W,9-8",CG(12),5,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.157,0.214,0.314,0.528,8,1.68,0.011,1.35,0.01%,-0.45,,,LF
2011,17,17,128,21-Aug,LAA,,BAL,"W,7-1",CG,4,3,2,2,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0.185,0.25,0.352,0.602,8,0.23,0.038,0.25,0.03%,0.05,,,RF
2011,18,18,130 (1),24-Aug,LAA,,CHW,"W,8-0",8-GF,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.262,0.364,0.626,7,0,0,0,0.00%,0.12,,,PH LF
2011,19,19,131,26-Aug,LAA,@,TEX,"L,7-11",7-GF,2,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.211,0.27,0.368,0.638,4,0.04,-0.001,0.13,0.00%,0.55,,,RF
2011,20,20,132,27-Aug,LAA,@,TEX,"W,8-4",CG,4,4,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.23,0.284,0.426,0.71,8,0.63,0.037,1.91,0.07%,-0.16,,,RF
2011,21,21,135 (2),30-Aug,LAA,@,SEA,"W,13-6",CG,5,4,3,2,0,0,2,5,1,0,1,0,0,0,0,0,0,0,0.246,0.306,0.523,0.829,7,0.58,0.34,0.86,0.30%,3.74,,,LF
2011,22,22,136,31-Aug,LAA,@,SEA,"L,1-2",CG,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.307,0.515,0.821,8,0.91,-0.002,1.41,0.00%,-0.06,,,LF
2011,23,23,137,1-Sep,LAA,@,SEA,"W,4-3",CG,4,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.239,0.304,0.493,0.797,8,0.79,-0.049,1.28,-0.05%,-0.5,,,RF
2011,24,24,138,2-Sep,LAA,,MIN,"L,5-13",9-GF,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.239,0.313,0.493,0.805,6,0.01,0,0.02,0.00%,0.37,,,PH
2011,25,25,139,3-Sep,LAA,,MIN,"W,10-6",CG,5,4,0,3,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0.267,0.341,0.52,0.861,7,0.48,0.087,0.57,0.06%,2.04,,,RF
2011,26,26,140,4-Sep,LAA,,MIN,"W,4-1",CG,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.253,0.326,0.494,0.82,8,0.75,-0.081,1.18,-0.08%,-2.31,,,CF
2011,27,27,141,5-Sep,LAA,,SEA,"W,7-3",CG,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.241,0.312,0.47,0.782,7,0.35,-0.036,0.54,-0.03%,-0.93,,,LF
2011,28,28,142,6-Sep,LAA,,SEA,"L,1-2",6-May,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.238,0.309,0.464,0.773,9,1.74,-0.048,3.31,-0.05%,-0.34,,,PH
2011,29,29,143,7-Sep,LAA,,SEA,"W,3-1",CG,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23,0.299,0.448,0.747,7,1.24,-0.092,1.74,-0.08%,-0.46,,,RF
2011,30,30,145 (1),10-Sep,LAA,,NYY,"W,6-0",CG,5,5,1,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0.239,0.304,0.457,0.76,7,0.81,0.115,1.5,0.13%,1.24,,,RF
2011,31,31,146,11-Sep,LAA,,NYY,"L,5-6",CG,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.229,0.292,0.438,0.73,8,0.78,-0.075,1.81,-0.11%,-0.67,,,LF
2011,32,32,147,12-Sep,LAA,@,OAK,"L,3-6",CG,4,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0.22,0.282,0.42,0.702,7,1.19,-0.153,2.34,-0.18%,-1.56,,,LF
2011,33,33,148,13-Sep,LAA,@,OAK,"W,6-3",7-Jul,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,1,0,0.22,0.282,0.42,0.702,9,3.33,0.031,5.43,0.03%,0.22,,,PR
2011,34,34,150 (1),16-Sep,LAA,@,BAL,"L,3-8",7-GF,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.216,0.277,0.412,0.689,2,0.05,-0.002,0.09,0.00%,-0.57,,,CF
2011,35,35,151,17-Sep,LAA,@,BAL,"L,2-6",CG,4,4,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.217,0.276,0.406,0.682,7,0.45,-0.025,0.7,-0.02%,-0.67,,,RF
2011,36,36,154 (2),20-Sep,LAA,@,TOR,"W,10-6",CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.209,0.267,0.391,0.658,7,0.58,-0.066,0.42,-0.03%,-1.2,,,RF
2011,37,37,157 (2),23-Sep,LAA,,OAK,"L,1-3",CG,3,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.204,0.26,0.381,0.641,7,1.77,-0.139,2.3,-0.11%,-0.77,,,LF
2011,38,38,160 (2),26-Sep,LAA,,TEX,"L,3-4",CG,4,3,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0.207,0.268,0.379,0.647,7,1.36,0.049,0.2,0.01%,0.57,,,RF
2011,39,39,161,27-Sep,LAA,,TEX,"L,3-10",CG,4,3,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0.21,0.275,0.387,0.661,1,0.79,0.027,0,0.00%,1.19,,,RF
2011,40,40,162,28-Sep,LAA,,TEX,"L,1-3",CG,4,4,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.22,0.281,0.39,0.672,2,1.13,0.058,0,0.00%,0.27,,,RF
2012,1,41,21 (20),28-Apr,LAA,@,CLE,"W,2-1",CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.83,-0.082,0.47,-0.03%,-0.81,,,LF
2012,2,42,22,29-Apr,LAA,@,CLE,"L,0-4",CG,4,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.125,0,0.125,1,1.41,-0.021,0.87,-0.01%,-0.39,,,CF
2012,3,43,23,30-Apr,LAA,,MIN,"W,4-3",CG,4,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.091,0.167,0.182,0.348,1,0.52,0.025,0.3,0.01%,0.02,,,CF
