Year,Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos
2018,1,1,1,29-Mar,LAA,@,OAK,"L,5-6",CG(11),5,5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.2,0.2,0.2,0.4,8,1.1,-0.102,1.19,-0.07%,-0.44,,,DH
2018,2,2,6 (4),3-Apr,LAA,,CLE,"W,13-2",CG,4,4,2,3,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0.444,0.444,0.778,1.222,8,0.45,0.195,0.46,0.12%,2.54,,,DH
2018,3,3,7,4-Apr,LAA,,CLE,"W,3-2",CG(13),5,5,1,2,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0.429,0.429,0.857,1.286,8,1.61,0.22,1.66,0.14%,1.59,,,DH
2018,4,4,8,6-Apr,LAA,,OAK,"W,13-9",CG,5,4,1,1,0,0,1,2,1,0,1,0,0,0,0,0,0,0,0.389,0.421,0.889,1.31,8,1.78,0.005,2.02,0.00%,0.87,,,DH
2018,5,5,12 (3),10-Apr,LAA,@,TEX,"W,11-1",9-Sep,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.368,0.4,0.842,1.242,1,0,0,0,0.00%,-0.12,,,PH
2018,6,6,13,11-Apr,LAA,@,TEX,"W,7-2",CG,4,3,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0.364,0.417,0.773,1.189,8,0.71,0.041,0.87,0.03%,0.18,,,DH
2018,7,7,14,12-Apr,LAA,@,KCR,"W,7-1",CG,5,4,0,1,0,1,0,3,1,1,1,0,0,0,0,0,0,0,0.346,0.414,0.769,1.183,8,0.75,0.056,0.87,0.04%,2.06,,,DH
2018,8,8,15,13-Apr,LAA,@,KCR,"W,5-4",CG,4,4,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.367,0.424,0.767,1.191,7,1.81,0.106,2.2,0.08%,0.46,,,DH
2018,9,9,19 (3),19-Apr,LAA,,BOS,"L,2-8",CG,4,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0.324,0.378,0.676,1.055,6,0.97,-0.082,1.17,-0.06%,-1.13,,,DH
2018,10,10,20,20-Apr,LAA,,SFG,"L,1-8",CG,4,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.342,0.39,0.658,1.048,6,0.28,0,0.31,0.00%,0.3,,,DH
2018,11,11,22 (1),22-Apr,LAA,,SFG,"L,2-4",CG,4,4,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.333,0.378,0.619,0.997,4,1.1,-0.003,1.23,0.00%,0.11,,,DH
2018,12,12,26 (3),27-Apr,LAA,,NYY,"L,3-4",GS-7,2,2,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.341,0.383,0.682,1.065,5,0.92,0.08,1.11,0.06%,0.76,,,DH
2018,13,13,29 (2),1-May,LAA,,BAL,"W,3-2",CG,4,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333,0.373,0.667,1.039,5,0.67,0.003,0.7,0.00%,-0.14,,,DH
2018,14,14,30,2-May,LAA,,BAL,"W,10-7",CG,4,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.308,0.345,0.615,0.961,5,0.27,0.011,0.29,0.01%,-0.4,,,DH
